objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
OASIS New Hope,380178,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,104865340,5.51537,5.90254,1.7143,18129,47,thing,OASIS New Hope,2,4,40,40,25,2023,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Obsession,231733,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,97712493,7.69438,8.15467,3.1162,62,17506,thing,Obsession,1,4,90,90,30,2018,,,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Off the Rails,210008,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77145766,5.61227,6.24706,1.8,7867,459,thing,Off the Rails,1,4,60,60,30,2018,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Oh Hell!,1116,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307051,6.06691,6.85098,1.7288,2556,915,thing,Oh Hell!,3,7,30,30,30,1930,,,10+,No necessary in-game text,,,,,,standalone,,,,,
ONE,325413,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81698269,5.48188,5.04968,1,24462,9,thing,ONE,2,6,180,180,10,2021,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Onitama,160477,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,84856569,7.15282,7.35185,1.648,317,34074,thing,Onitama,2,2,20,20,15,2014,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Oriflamme,287084,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,80483623,6.5559,7.11779,1.6719,1097,6858,thing,Oriflamme,3,5,30,30,15,2019,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Origin,127095,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307356,5.91311,6.60515,2.1333,3431,2070,thing,Origin,2,4,60,60,45,2013,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Othello,2389,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307226,5.94762,6.13438,2.0686,3183,14242,thing,Othello,2,2,30,30,30,1883,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Oust,30936,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,93302927,5.49868,5.64304,2.8235,22138,36,thing,Oust,2,2,45,45,45,2007,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Outlaws: Last Man Standing,204504,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307921,5.53721,5.97186,1.8889,13517,580,thing,Outlaws: Last Man Standing,2,2,20,20,15,2018,,,12+,No necessary in-game text,,,,,,standalone,,,,,
P.I.,129050,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307145,6.07859,6.70288,2.2474,2508,2361,thing,P.I.,2,5,60,60,45,2012,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Paint the Roses,253759,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,99889622,6.35459,7.23956,2.4634,1537,3879,thing,Paint the Roses,2,5,70,70,50,2022,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Palace,20528,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307825,5.55517,5.94076,1.0833,11311,212,thing,Palace,2,6,20,20,20,0,,,8+,No necessary in-game text,,,,,,standalone,,,,,
The Palaces of Carrara,129948,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307147,6.63517,7.13386,2.5926,964,4716,thing,The Palaces of Carrara,2,4,60,60,60,2012,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Pandemic,30549,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,83252597,7.43167,7.53752,2.4008,145,202201,thing,Pandemic,2,4,45,45,45,2008,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Panic Lab,121073,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472401,5.7398,6.03073,1.3077,5074,3947,thing,Panic Lab,2,10,30,30,10,2012,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Papayoo,73365,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,73726071,5.61854,6.04915,1.1,7644,870,thing,Papayoo,3,8,30,30,30,2010,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Paris Connection,75358,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81697122,6.19302,6.64893,1.8194,2034,3541,thing,Paris Connection,3,6,30,30,30,2010,,,10+,No necessary in-game text,,,,,,standalone,,,,,
PARKS,266524,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,85588510,7.44188,7.67354,2.1242,141,44396,thing,PARKS,1,5,60,60,30,2019,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
PARKS: Wildlife,358854,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,97788024,6.27994,7.99523,2.3077,0,6423,thing,PARKS: Wildlife,1,5,70,70,40,2022,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Patchwork,163412,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,84614118,7.49035,7.59729,1.6035,118,104245,thing,Patchwork,2,2,30,30,15,2014,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Pearladöra,8229,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307916,5.79015,6.33339,1.9718,4455,2007,thing,Pearladöra,2,4,30,30,20,2003,,,5+,No necessary in-game text,,,,,,standalone,,,,,
Penalty Challenge,321928,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696470,5.38584,3.5422,1,26085,14,thing,Penalty Challenge,2,4,40,40,20,2019,,,,No necessary in-game text,,,,,,standalone,,,,,
Penny Press,148205,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307892,5.81245,6.435,2.1944,4226,1516,thing,Penny Press,2,5,60,60,45,2015,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Pente,1295,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,87138077,6.13169,6.64731,2.0935,2290,5890,thing,Pente,2,4,30,30,30,1977,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Perikles,21954,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,98957498,6.16083,6.8789,3.281,2160,2694,thing,Perikles,3,5,120,120,120,2006,,,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Perudo,45,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307129,6.71626,6.91468,1.2539,824,20473,thing,Perudo,2,6,30,30,15,1800,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Photosynthesis,218603,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,101696163,6.81366,6.9768,2.2591,679,39078,thing,Photosynthesis,2,4,60,60,30,2017,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Pier 18,346747,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,91431322,5.50906,5.62537,1.6667,19750,238,thing,Pier 18,2,3,15,15,5,2021,,,,,,,,,,standalone,,,,,
Pinochle,4583,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472799,5.94283,6.86658,2.3,3223,1332,thing,Pinochle,2,4,45,45,45,1864,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Piraten Kapern,117663,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77145714,5.91182,6.32708,1.0989,3439,4632,thing,Piraten Kapern,2,5,30,30,30,2012,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Pitch,10789,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71308344,5.66929,6.83282,1.7727,6279,249,thing,Pitch,2,4,30,30,30,1600,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Please Fix the Teleporter,305983,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,87138285,0,5.19138,0,0,20,thing,Please Fix the Teleporter,1,4,15,15,5,2020,,,,,,,,,,standalone,,,,,
Point Salad,274960,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,93679723,6.96344,7.15177,1.1414,500,32463,thing,Point Salad,2,6,30,30,15,2019,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Polis: Fight for the Hegemony,69779,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307918,6.54123,7.51464,3.6784,1127,3275,thing,Polis: Fight for the Hegemony,2,2,120,120,90,2012,,,14+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Ponte del Diavolo,27172,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307941,5.85053,6.47606,2.3267,3894,1528,thing,Ponte del Diavolo,2,2,25,25,25,2007,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Potion Explosion,180974,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71689162,6.93413,7.12781,1.7781,543,28925,thing,Potion Explosion,2,4,45,45,30,2015,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Potion Explosion: The Fifth Ingredient,203542,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472390,6.2423,7.51371,1.9333,0,6093,thing,Potion Explosion: The Fifth Ingredient,2,4,60,60,30,2017,,,8+,No necessary in-game text,,,,,,expansion,,,,,
Puerto Rico,3076,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71306823,7.78018,7.92011,3.2694,44,81499,thing,Puerto Rico,3,5,150,150,90,2002,,,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Puerto Rico: Expansion I – New Buildings,12382,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71332128,6.645,7.54698,3.2167,0,6045,thing,Puerto Rico: Expansion I – New Buildings,2,5,90,90,90,2004,,,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Puerto Rico: Expansion II – The Nobles,159761,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71332129,5.80123,7.48256,3.25,0,1258,thing,Puerto Rico: Expansion II – The Nobles,2,5,90,90,90,2009,,,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Pugs in Mugs,313442,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,95207003,5.42688,4.79892,1.2,25930,103,thing,Pugs in Mugs,2,5,45,45,20,2020,,,5+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Pylos,1419,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307933,5.86696,6.30769,1.918,3757,3398,thing,Pylos,2,2,10,10,10,1993,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Pyramid Poker,213953,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472503,5.74856,6.32029,1.2143,4943,1301,thing,Pyramid Poker,2,2,30,30,10,2017,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Pyrga,305723,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,93442925,5.52689,6.44015,1.5,15396,8,thing,Pyrga,2,2,15,15,5,2014,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Quantik,286295,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77334077,5.55188,6.02769,1.5714,11632,442,thing,Quantik,2,2,20,20,20,2019,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Quantum,143519,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307216,6.82146,7.23602,2.4742,675,8404,thing,Quantum,2,4,60,60,60,2013,,,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Quantum: The Void,149799,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71333407,5.63458,7.47707,2.5,0,701,thing,Quantum: The Void,2,4,30,30,30,2013,,,,,,,,,,expansion,,,,,
Quarto,681,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307324,6.5573,6.89055,1.8933,1094,13090,thing,Quarto,2,2,20,20,20,1991,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Queens & Kings ...A Checkers Game,279769,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86113136,5.45786,3.5814,1,25543,7,thing,Queens & Kings ...A Checkers Game,2,4,90,90,30,2019,,,,,,,,,,standalone,,,,,
Quetzal,300700,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,79540700,5.91801,6.80135,2.0811,3397,1640,thing,Quetzal,2,5,75,75,30,2020,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Quinque,255027,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696474,5.4863,5.24583,2,24013,70,thing,Quinque,2,2,20,20,10,2018,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Quintus,366707,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,97278562,0,5.9,2,0,8,thing,Quintus,5,5,60,60,20,2012,,,,,,,,,,standalone,,,,,
Quoridor,624,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307272,6.37907,6.66117,1.8337,1487,13150,thing,Quoridor,2,4,15,15,15,1997,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Race for the Galaxy,28143,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71306868,7.631,7.74486,2.9904,77,68770,thing,Race for the Galaxy,2,4,60,60,30,2007,,,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Race for the Galaxy: Alien Artifacts,92932,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71332175,6.39602,7.51351,2.9367,0,5601,thing,Race for the Galaxy: Alien Artifacts,2,5,45,45,45,2013,,,12+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Race for the Galaxy: New Worlds Promo Cards,242309,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71332163,5.97303,8.27037,3.2,0,1735,thing,Race for the Galaxy: New Worlds Promo Cards,1,5,60,60,60,2017,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Race for the Galaxy: Rebel vs Imperium,40210,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71332170,7.28521,7.93045,3.0784,0,14817,thing,Race for the Galaxy: Rebel vs Imperium,1,6,60,60,60,2009,,,12+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Race for the Galaxy: The Brink of War,66121,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71332172,6.91884,7.76302,3.369,0,9951,thing,Race for the Galaxy: The Brink of War,1,6,60,60,30,2010,,,12+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Race for the Galaxy: The Gathering Storm,34499,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71332169,7.62553,8.08878,2.9889,0,22810,thing,Race for the Galaxy: The Gathering Storm,1,5,60,60,60,2008,,,12+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Race for the Galaxy: Xeno Invasion,161599,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71332181,6.20411,7.89365,3.2812,0,3463,thing,Race for the Galaxy: Xeno Invasion,2,5,60,60,30,2015,,,12+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Rage,568,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696760,5.80775,6.18092,1.4641,4271,4908,thing,Rage,2,10,45,45,45,1983,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Railroad Ink: Blazing Red Edition,251678,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,81696509,6.70398,7.08988,1.4717,843,13716,thing,Railroad Ink: Blazing Red Edition,1,6,30,30,20,2018,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Railroad Ink: Deep Blue Edition,245654,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,81696506,6.92043,7.18052,1.4678,556,20798,thing,Railroad Ink: Deep Blue Edition,1,6,30,30,20,2018,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Railways of the World,17133,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472176,7.33189,7.66972,3.0159,204,13067,thing,Railways of the World,2,6,120,120,120,2005,,,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Rainbow,341510,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,89111901,5.53418,5.85363,1.2,14003,419,thing,Rainbow,2,2,15,15,10,2021,,,,No necessary in-game text,,,,,,standalone,,,,,
Rainforest,365698,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,104389265,5.70044,6.78848,1.9375,5682,330,thing,Rainforest,2,4,30,30,20,2022,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Rallyman: DIRT,312959,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,99162680,5.98808,7.62022,2.32,2941,2423,thing,Rallyman: DIRT,1,6,60,60,45,2022,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Rallyman: GT,256589,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307146,6.54173,7.18284,2.225,1125,6389,thing,Rallyman: GT,1,6,60,60,45,2020,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Raubbau,363050,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,99889555,0,4.94286,2.5,0,8,thing,Raubbau,3,5,45,45,30,2022,,,,No necessary in-game text,,,,,,standalone,,,,,
Rauha,371922,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100750603,5.8959,7.05265,2.3793,3532,819,thing,Rauha,2,5,45,45,45,2023,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Red7,161417,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307095,6.68848,6.87032,1.687,874,23751,thing,Red7,2,4,30,30,5,2014,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Redstone,120533,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,93869462,5.48435,4.68385,0,24199,18,thing,Redstone,2,2,45,45,45,2012,,,,,,,,,,standalone,,,,,
Reflections in the Looking Glass,377943,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,103838146,5.49788,5.41042,1,22293,8,thing,Reflections in the Looking Glass,2,2,30,30,10,2023,,,,,,,,,,standalone,,,,,
Regicide,307002,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,95460970,6.86762,7.45495,1.8934,620,8519,thing,Regicide,1,4,30,30,10,2020,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Regidice,350604,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,96209313,5.43965,4.18261,2,25827,32,thing,Regidice,2,4,30,30,10,2021,,,,,,,,,,standalone,,,,,
Remember When ...,185769,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307922,5.49701,5.83429,1.25,22471,13,thing,Remember When ...,3,9,60,60,30,2017,,,6+,,,,,,,standalone,,,,,
Res Arcana,262712,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,79142057,7.42325,7.65105,2.6388,149,29717,thing,Res Arcana,2,4,60,60,30,2019,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Rest In Peace,319680,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81106184,5.57459,6.11707,1.5556,9794,387,thing,Rest In Peace,2,2,15,15,15,2021,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Rift Valley Reserve,357973,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100386192,5.47198,4.73333,1,25058,5,thing,Rift Valley Reserve,2,5,30,30,20,0,,,,,,,,,,standalone,,,,,
Riftforce,291859,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472489,6.4557,7.29798,2.1029,1304,5058,thing,Riftforce,2,2,30,30,20,2021,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Riichi Mahjong,108018,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,91482443,6.02187,8.31726,3.5476,2766,615,thing,Riichi Mahjong,3,4,120,120,60,1920,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Rive,359061,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,92817166,5.47642,4.06364,0,24842,9,thing,Rive,2,2,45,45,15,2010,,,,,,,,,,standalone,,,,,
Robots Ate Our Pizza,332173,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,92565543,5.47021,4.54986,1.3333,25142,20,thing,Robots Ate Our Pizza,2,6,30,30,20,2021,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Roll for the Galaxy,132531,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71306952,7.43778,7.59033,2.7772,142,38571,thing,Roll for the Galaxy,2,5,45,45,45,2014,,,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Roll Into Town,368733,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,103867583,5.4842,5.26729,1.8333,24218,15,thing,Roll Into Town,1,100,60,60,30,2022,,,8,,,,,,,standalone,,,,,
Roll to the Top: Journeys,370193,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,103942941,5.71053,6.58302,1.1111,5517,705,thing,Roll to the Top: Journeys,1,6,20,20,20,2023,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Roll'n Bump,110260,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,96006284,5.59999,6.21274,1.1429,8376,344,thing,Roll'n Bump,2,5,20,20,20,2011,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Rolled West,280041,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81697113,5.58639,5.96186,1.4545,9085,609,thing,Rolled West,2,4,30,30,20,2019,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Rolling Pins,353799,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,93525203,5.43905,4.53763,1.2,25837,30,thing,Rolling Pins,1,100,30,30,15,2021,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Room 25,127024,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81698059,6.3875,6.7018,1.9286,1467,8859,thing,Room 25,1,6,30,30,30,2013,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
The Ruhr: A Story of Coal Trade,226254,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307282,5.8365,6.86693,3.6667,4004,1471,thing,The Ruhr: A Story of Coal Trade,2,4,120,120,120,2017,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Russian Railroads,144733,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307037,7.48984,7.73585,3.4052,119,16258,thing,Russian Railroads,2,4,120,120,120,2013,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Saboteur,9220,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71333452,6.42449,6.54656,1.3203,1385,56859,thing,Saboteur,3,10,30,30,30,2004,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Saboteur 2,91072,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71306951,6.47113,6.93901,1.5225,0,16333,thing,Saboteur 2 (expansion-only editions),2,12,45,45,45,2011,,,8+,No necessary in-game text,,,,,,expansion,,,,,
Saboteur: Selfish Dwarf,201027,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71333496,5.5192,6.74371,2,0,167,thing,Saboteur: Selfish Dwarf,3,10,0,0,0,2016,,,,No necessary in-game text,,,,,,expansion,,,,,
Saint Petersburg,9217,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77236520,7.04382,7.27147,2.4395,416,12971,thing,Saint Petersburg,2,4,60,60,45,2004,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Saint Poker,251060,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307848,5.51119,5.97984,1.75,19205,20,thing,Saint Poker,2,5,20,20,10,2018,,,,No necessary in-game text,,,,,,standalone,,,,,
Samarkand,364,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,88014621,5.77123,6.40409,1.9375,4652,1066,thing,Samarkand,2,5,40,40,40,1980,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Santorini,194655,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,73921622,7.22648,7.36361,1.7268,266,61001,thing,Santorini,2,4,20,20,20,2016,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Sapiens,169649,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71306910,5.76381,6.30828,2.6667,4747,1508,thing,Sapiens,2,4,45,45,45,2015,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Sapiens: Double Tiles,185147,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71333518,5.52727,7.32467,2,0,173,thing,Sapiens: Double Tiles,2,4,40,0,40,2015,,,,,,,,,,expansion,,,,,
Sapiens: Mountains,184825,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71333517,0,7.21833,2,0,136,thing,Sapiens: Mountains,2,4,40,0,40,2015,,,,,,,,,,expansion,,,,,
Sasaki (사사끼),344101,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,99466172,0,5.4,0,0,15,thing,Sasaki (사사끼),4,4,60,60,60,1995,,,,,,,,,,standalone,,,,,
Say Anything,33604,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,88233171,6.37923,6.70924,1.0906,1486,10584,thing,Say Anything,3,8,30,30,30,2008,,,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Schrödinger's Cats,172235,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81258686,5.568,5.76127,1.25,10257,1527,thing,Schrödinger's Cats,2,6,30,30,10,2015,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Scopa,15889,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,101696698,5.86348,6.57037,1.4675,3791,2028,thing,Scopa,2,6,30,30,30,1600,,,5+,No necessary in-game text,,,,,,standalone,,,,,
Scriptoria,305211,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,90805533,5.50181,6.81286,2.5,21509,30,thing,Scriptoria,2,4,60,60,30,0,,,,,,,,,,standalone,,,,,
Sea Salt & Paper,367220,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,97048709,7.03502,7.47264,1.4433,421,17446,thing,Sea Salt & Paper,2,4,45,45,30,2022,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Seasons,108745,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71306824,7.17297,7.35117,2.7807,303,29800,thing,Seasons,2,4,60,60,60,2012,,,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Seasons: Enchanted Kingdom,136233,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71333549,6.674,7.76273,2.686,0,9271,thing,Seasons: Enchanted Kingdom,2,4,60,60,60,2013,,,12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Seasons: Path of Destiny,148166,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71333550,6.50016,7.86098,2.6512,0,7140,thing,Seasons: Path of Destiny,2,4,60,60,60,2014,,,12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Secret Moon,162660,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307339,5.51132,5.65026,1.1667,19167,312,thing,Secret Moon,5,8,10,10,10,2014,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Secret Moon: Thief Promo Card,269075,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71333569,0,7,0,0,11,thing,Secret Moon: Thief Promo Card,5,8,10,10,10,2014,,,,,,,,,,expansion,,,,,
